기관명,기관유형,주무부처,임직원수,신규채용인원,직원평균보수,임원평균연봉,소재지,채용률,임원연봉_직원보수_비율
(사)남북교류협력지원협회,기타공공기관,통일부,40,12,60861,,서울특별시,0.3,
(재)예술경영지원센터,기타공공기관,문화체육관광부,73,4,48913,114338,서울특별시,0.0547945205479452,2.337578966736859
(재)우체국금융개발원,준정부기관(위탁집행형),과학기술정보통신부,851,40,57780,189767,서울특별시,0.0470035252643948,3.284302526825891
(재)우체국물류지원단,준정부기관(위탁집행형),과학기술정보통신부,1480.5,66,58397,188447,서울특별시,0.044579533941236,3.226997962224087
(재)우체국시설관리단,기타공공기관,과학기술정보통신부,2279,4,68208,198674,서울특별시,0.0017551557700745,2.912766830870279
(재)일제강제동원피해자지원재단,기타공공기관,행정안전부,52,5,54225,100729,서울특별시,0.0961538461538461,1.8576118026740436
(재)축산환경관리원,기타공공기관,농림축산식품부,48,4,68622,150068,세종특별자치시,0.0833333333333333,2.186878843519571
(재)한국보건의료정보원,기타공공기관,보건복지부,119,9,60513,203430,서울특별시,0.0756302521008403,3.3617569778394727
(재)한국우편사업진흥원,기타공공기관,과학기술정보통신부,504,14,60845,207581,서울특별시,0.0277777777777777,3.411636124578848
(재)한국통계정보원,기타공공기관,국가데이터처,170,0,57779,147200,대전광역시,0,2.547638415341214
(주)강원랜드,공기업(시장형),산업통상부,3689,191,81514,157376,강원도,0.0517755489292491,1.9306622175331845
(주)공영홈쇼핑,기타공공기관,중소벤처기업부,382,14,73683,168640,서울특별시,0.0366492146596858,2.288723314740171
(주)한국가스기술공사,공기업(준시장형),산업통상부,2358,182,77183,158685,대전광역시,0.0771840542832909,2.055957918194421
88관광개발(주),기타공공기관,국가보훈부,42,2,69409,146943,경기도,0.0476190476190476,2.1170597472950194
KDI국제정책대학원,기타공공기관,국무조정실,163,5,106224,,세종특별자치시,0.0306748466257668,
가축위생방역지원본부,기타공공기관,농림축산식품부,1287,1,68498,132955,세종특별자치시,0.0007770007770007,1.9410055768051624
강릉원주대학교치과병원,기타공공기관,교육부,207,39,46490,99373,강원도,0.1884057971014492,2.1375134437513443
강원대학교병원,기타공공기관,교육부,1905,114,59253,129554,강원도,0.0598425196850393,2.186454694277083
건강보험심사평가원,준정부기관(위탁집행형),보건복지부,3957,171.75,71130,182799,강원도,0.0434040940106141,2.569928300295234
건설근로자공제회,기타공공기관,고용노동부,222.5,6,86484,200660,서울특별시,0.0269662921348314,2.320197955691226
건축공간연구원,기타공공기관,국무조정실,111,1,72924,165535,세종특별자치시,0.009009009009009,2.2699659919916626
게임물관리위원회,기타공공기관,문화체육관광부,101,2,58729,129249,부산광역시,0.0198019801980198,2.200769636806348
경북대학교병원,기타공공기관,교육부,5539,343,76361,135927,대구광역시,0.0619245351146416,1.780057882950721
경북대학교치과병원,기타공공기관,교육부,220,38,65600,122319,대구광역시,0.1727272727272727,1.8646189024390245
경상국립대학교병원,기타공공기관,교육부,4116,207,64525,152737,경상남도,0.0502915451895043,2.367098024021697
경제인문사회연구회,기타공공기관,국무조정실,96,2,63741,216018,세종특별자치시,0.0208333333333333,3.3889960935661505
공간정보품질관리원,기타공공기관,국토교통부,83,2,62099,154150,서울특별시,0.0240963855421686,2.4823266075138086
공무원연금공단,준정부기관(기금관리형),인사혁신처,693,64,73388,167526,제주특별자치도,0.0923520923520923,2.282743772823895
과학기술사업화진흥원,기타공공기관,과학기술정보통신부,52,5,68322,181502,서울특별시,0.0961538461538461,2.656567430695823
과학기술정책연구원,기타공공기관,국무조정실,162,6,73726,154938,세종특별자치시,0.037037037037037,2.101538127661883
국가과학기술인력개발원,기타공공기관,과학기술정보통신부,121,7,74562,,충청북도,0.0578512396694214,
국가생명윤리정책원,기타공공기관,보건복지부,77,11,52628,156460,서울특별시,0.1428571428571428,2.9729421600668844
국가수리과학연구소,기타공공기관,과학기술정보통신부,61,1,80712,,대전광역시,0.0163934426229508,
국가유산진흥원,기타공공기관,국가유산청,395,8,60571,152090,서울특별시,0.020253164556962,2.5109375773885194
국가철도공단,준정부기관(위탁집행형),국토교통부,2210,155,77036,160006,대전광역시,0.0701357466063348,2.0770289215431745
국가평생교육진흥원,기타공공기관,교육부,174,1,75373,207581,서울특별시,0.0057471264367816,2.7540498587027185
국립공원공단,준정부기관(위탁집행형),기후에너지환경부,2651,119,61473,186139,강원도,0.0448887212372689,3.027979763473395
국립광주과학관,기타공공기관,과학기술정보통신부,143,1,61856,139826,광주광역시,0.0069930069930069,2.260508277289188
국립낙동강생물자원관,기타공공기관,기후에너지환경부,214,6,67795,186198,경상북도,0.02803738317757,2.7464857290360647
국립대구과학관,기타공공기관,과학기술정보통신부,153,3,64690,139826,대구광역시,0.0196078431372549,2.161477817282424
국립박물관문화재단,기타공공기관,문화체육관광부,80,2,59968,167774,서울특별시,0.025,2.7977254535752403
국립부산과학관,기타공공기관,과학기술정보통신부,145,2,65471,142826,부산광역시,0.0137931034482758,2.181515480136244
국립생태원,준정부기관(위탁집행형),기후에너지환경부,623,5,71174,167764,충청남도,0.0080256821829855,2.357096692612471
국립아시아문화전당재단,기타공공기관,문화체육관광부,156,5,63893,122917,광주광역시,0.032051282051282,1.923794468877655
국립암센터,기타공공기관,보건복지부,2209.1,201,80995,430302,경기도,0.0909872798877371,5.312698314710785
국립울진해양과학관,기타공공기관,해양수산부,43,4,60347,153395,경상북도,0.0930232558139534,2.5418827779342803
국립중앙의료원,기타공공기관,보건복지부,1814,87,74058,266468,서울특별시,0.047960308710033,3.5980987874368737
국립항공박물관,기타공공기관,국토교통부,83,9,67391,141061,서울특별시,0.108433734939759,2.093172678844356
국립해양박물관,기타공공기관,해양수산부,63,3,64045,167364,부산광역시,0.0476190476190476,2.613225076118354
국립해양생물자원관,기타공공기관,해양수산부,223,7,78810,187332,충청남도,0.0313901345291479,2.377007993909402
국립호남권생물자원관,기타공공기관,기후에너지환경부,185,0,64416,167569,전라남도,0,2.601356805762544
국민건강보험공단,준정부기관(위탁집행형),보건복지부,16156,915,68926,143493,강원도,0.0566353057687546,2.0818413951194032
국민건강보험공단 일산병원,준정부기관(위탁집행형),보건복지부,2638.5,186,77544,,경기도,0.0704945992040932,
국민연금공단,준정부기관(기금관리형),보건복지부,7430,251,73077,233419,전라북도,0.0337819650067294,3.1941513745775003
국방과학연구소,기타공공기관,방위사업청,3435,176,108374,204450,대전광역시,0.0512372634643377,1.886522597671028
국방기술진흥연구소,기타공공기관,방위사업청,367,12,91717,,경상남도,0.0326975476839237,
국방기술품질원,기타공공기관,방위사업청,684,13,91567,192738,경상남도,0.0190058479532163,2.104884947633973
국방전직교육원,기타공공기관,국방부,42,1,49661,97479,경기도,0.0238095238095238,1.962888383238356
국악방송,기타공공기관,문화체육관광부,76,5,58519,109133,서울특별시,0.0657894736842105,1.8649156684153865
국제방송교류재단,기타공공기관,문화체육관광부,227,9,62762,135445,서울특별시,0.039647577092511,2.1580733564895955
국제식물검역인증원,기타공공기관,농림축산식품부,56,7,53894,202704,부산광역시,0.125,3.761160797120273
국토교통과학기술진흥원,기타공공기관,국토교통부,153,1,87557,207480,경기도,0.0065359477124183,2.3696563381568576
국토안전관리원,준정부기관(위탁집행형),국토교통부,1094.7,82,69205,137201,경상남도,0.0749063670411985,1.9825301640054909
국토연구원,기타공공기관,국무조정실,283,11,86543,160000,세종특별자치시,0.03886925795053,1.8487919300232252
그랜드코리아레저(주),공기업(준시장형),문화체육관광부,1771,45,72697,149232,서울특별시,0.0254093732354601,2.0527944757005105
극지연구소,기타공공기관,해양수산부,294,4,84139,,인천광역시,0.0136054421768707,
근로복지공단,준정부기관(기금관리형),고용노동부,10158.63,459.5,64992,158139,울산광역시,0.045232477213955,2.433207163958641
기술보증기금,준정부기관(기금관리형),중소벤처기업부,1586,91,96353,265699,부산광역시,0.0573770491803278,2.757558145568898
기초과학연구원,기타공공기관,과학기술정보통신부,443,17,84524,265278,대전광역시,0.0383747178329571,3.138493209029388
노사발전재단,기타공공기관,고용노동부,300,7,50957,168031,서울특별시,0.0233333333333333,3.2975057401338383
농림수산식품교육문화정보원,기타공공기관,농림축산식품부,169,10,59049,138353,세종특별자치시,0.059171597633136,2.343020203559756
농림식품기술기획평가원,기타공공기관,농림축산식품부,98,12,67284,154140,전라남도,0.1224489795918367,2.290886392009988
농업정책보험금융원,기타공공기관,농림축산식품부,86,5,67737,207581,서울특별시,0.0581395348837209,3.0645142241315675
대구경북첨단의료산업진흥재단,기타공공기관,보건복지부,406,7,60596,279770,대구광역시,0.0172413793103448,4.6169714172552645
대외경제정책연구원,기타공공기관,국무조정실,221,11,75968,189307,세종특별자치시,0.0497737556561085,2.491930812973884
대한무역투자진흥공사,준정부기관(위탁집행형),산업통상부,1293,63,108925,191076,서울특별시,0.0487238979118329,1.754197842552215
대한법률구조공단,기타공공기관,법무부,871,15,81126,156723,경상북도,0.0172215843857634,1.9318467568966795
대한석탄공사,기타공공기관,산업통상부,187,0,71680,73389,강원도,0,1.0238420758928573
대한장애인체육회,기타공공기관,문화체육관광부,143,2,60828,127471,서울특별시,0.0139860139860139,2.095597422239758
대한적십자사,기타공공기관,보건복지부,4393,364,65205,,강원도,0.0828590940132028,
대한체육회,기타공공기관,문화체육관광부,282,21,68491,142310,서울특별시,0.0744680851063829,2.077791242645019
독립기념관,기타공공기관,국가보훈부,142,2,62773,123448,충청남도,0.0140845070422535,1.9665779873512497
동남권원자력의학원,기타공공기관,과학기술정보통신부,724,48,83238,,부산광역시,0.0662983425414364,
동북아역사재단,기타공공기관,교육부,116,12,66854,171621,서울특별시,0.1034482758620689,2.56710144493972
무역안보관리원,기타공공기관,산업통상부,72,8,56709,177023,서울특별시,0.1111111111111111,3.1216032728491068
민주화운동기념사업회,기타공공기관,행정안전부,70,2,58868,113718,경기도,0.0285714285714285,1.9317456003261533
부산대학교병원,기타공공기관,교육부,6981,550,67746,178096,부산광역시,0.0787852743160005,2.6288784577687245
부산대학교치과병원,기타공공기관,교육부,287,36,62325,116694,경상남도,0.1254355400696864,1.872346570397112
부산항만공사,기타공공기관,해양수산부,274,6,85049,166729,부산광역시,0.0218978102189781,1.9603875412997211
북한이탈주민지원재단,기타공공기관,통일부,172,3,64144,183200,서울특별시,0.0174418604651162,2.856073833873784
분당서울대학교병원,기타공공기관,교육부,5747,545.06,79001,,경기도,0.0948425265355837,
사립학교교직원연금공단,기타공공기관,교육부,254,24,67437,191264,전라남도,0.0944881889763779,2.836187849400181
산업연구원,기타공공기관,국무조정실,206,10,77484,175134,세종특별자치시,0.0485436893203883,2.260260182747406
새만금개발공사,기타공공기관,국토교통부,107,14,76789,158166,전라북도,0.1308411214953271,2.05974814100978
서민금융진흥원,기타공공기관,금융위원회,349,22,68063,277741,서울특별시,0.0630372492836676,4.080645872206632
서울대학교병원,기타공공기관,교육부,8495,653,78634,212217,서울특별시,0.0768687463213655,2.698794414629804
서울대학교치과병원,기타공공기관,교육부,670,81,68272,193301,서울특별시,0.1208955223880597,2.831336419029763
서울올림픽기념국민체육진흥공단,준정부기관(기금관리형),문화체육관광부,1490,47,74925,170402,서울특별시,0.0315436241610738,2.274300967634301
서울요양원,준정부기관(위탁집행형),보건복지부,118,22,34052,,서울특별시,0.1864406779661017,
선박해양플랜트연구소,기타공공기관,해양수산부,321,12,99021,,대전광역시,0.0373831775700934,
세종학당재단,기타공공기관,문화체육관광부,101,1,61949,151952,서울특별시,0.0099009900990099,2.4528563818625
소상공인시장진흥공단,준정부기관(기금관리형),중소벤처기업부,864,65,53086,152340,대전광역시,0.0752314814814814,2.8696831556342537
소프트웨어정책연구소,기타공공기관,과학기술정보통신부,51,3,77671,,경기도,0.0588235294117647,
수도권매립지관리공사,기타공공기관,기후에너지환경부,346,0,88762,178109,인천광역시,0,2.00659065816453
스포츠윤리센터,기타공공기관,문화체육관광부,51,15,49984,,서울특별시,0.2941176470588235,
시청자미디어재단,기타공공기관,방송미디어통신위원회,275,16,53844,174248,서울특별시,0.0581818181818181,3.2361637322635763
식품안전정보원,기타공공기관,식품의약품안전처,115,17,48810,123430,서울특별시,0.1478260869565217,2.5287850850235607
신용보증기금,준정부기관(기금관리형),금융위원회,2927.5,186,97179,244703,대구광역시,0.0635354397950469,2.5180646024346824
신용보증재단중앙회,기타공공기관,중소벤처기업부,115,11,74325,194610,세종특별자치시,0.0956521739130434,2.618365287588295
아동권리보장원,기타공공기관,보건복지부,172,16,49208,154645,서울특별시,0.0930232558139534,3.142680052024061
아시아·태평양경제협력체 기후센터,기타공공기관,기상청,64,3,66346,152308,부산광역시,0.046875,2.2956621348687185
에너지경제연구원,기타공공기관,국무조정실,167,12,96427,160436,울산광역시,0.0718562874251497,1.6638078546465205
여수광양항만공사,기타공공기관,해양수산부,182,10,88033,176443,전라남도,0.0549450549450549,2.0042824849772245
연구개발특구진흥재단,기타공공기관,과학기술정보통신부,170,7,67314,207581,대전광역시,0.0411764705882352,3.0837715779778354
영상물등급위원회,기타공공기관,문화체육관광부,52,5,56746,151133,부산광역시,0.0961538461538461,2.6633242871744263
영화진흥위원회,기타공공기관,문화체육관광부,137,5,73380,156940,부산광역시,0.0364963503649635,2.138729899155083
예금보험공사,준정부기관(기금관리형),금융위원회,843,35,97187,248919,서울특별시,0.0415183867141162,2.561237614084188
예술의전당,기타공공기관,문화체육관광부,379,0,78531,151271,서울특별시,0,1.926258420241688
오송첨단의료산업진흥재단,기타공공기관,보건복지부,390,27,58646,233904,충청북도,0.0692307692307692,3.9884050063090406
울산항만공사,기타공공기관,해양수산부,126,5,83948,191852,울산광역시,0.0396825396825396,2.2853671320341165
육아정책연구소,기타공공기관,국무조정실,63,1,66239,141659,서울특별시,0.0158730158730158,2.1386041455939853
의료기관평가인증원,기타공공기관,보건복지부,75,10,56514,203048,서울특별시,0.1333333333333333,3.592879640443076
인천국제공항공사,공기업(시장형),국토교통부,1951,35,97651,198813,인천광역시,0.017939518195797,2.03595457291784
인천항만공사,기타공공기관,해양수산부,280.5,8,91518,170905,인천광역시,0.0285204991087344,1.8674468410585896
자동차손해배상진흥원,기타공공기관,국토교통부,126,8,88478,194020,서울특별시,0.0634920634920634,2.192861502294356
재단법인 건설기술교육원,기타공공기관,국토교통부,85,4,80214,273539,인천광역시,0.0470588235294117,3.410115441194804
재단법인 대한건설기계안전관리원,기타공공기관,국토교통부,221,24,47772,132396,서울특별시,0.1085972850678733,2.771414217533283
재단법인 장애인기업종합지원센터,기타공공기관,중소벤처기업부,49,5,52917,125169,서울특별시,0.1020408163265306,2.3653835251431485
재단법인 한국공공조직은행,기타공공기관,보건복지부,66,8,51902,129888,서울특별시,0.1212121212121212,2.502562521675465
재단법인 한국에너지재단,기타공공기관,기후에너지환경부,52,6,56400,168918,서울특별시,0.1153846153846153,2.995
재단법인 한국자활복지개발원,기타공공기관,보건복지부,104,6,55557,186785,서울특별시,0.0576923076923076,3.362042586892741
재단법인 한국장기조직기증원,기타공공기관,보건복지부,115,6,61431,135277,서울특별시,0.0521739130434782,2.202096661294786
재외동포협력센터,기타공공기관,재외동포청,38,0,70660,125481,서울특별시,0,1.775842060571752
전남대학교병원,기타공공기관,교육부,5522.5,228,75430,142232,광주광역시,0.0412856496152105,1.8856158027310088
전북대학교병원,기타공공기관,교육부,3192,197,72559,153332,전라북도,0.0617167919799498,2.1132044267423757
전쟁기념사업회,기타공공기관,국방부,235,13,67198,129351,서울특별시,0.0553191489361702,1.92492336081431
정보통신기획평가원,준정부기관(위탁집행형),과학기술정보통신부,358.13,7,94127,,대전광역시,0.0195459749253064,
정보통신산업진흥원,기타공공기관,과학기술정보통신부,458,8,80795,225395,충청북도,0.0174672489082969,2.7897147100686923
정보통신정책연구원,기타공공기관,국무조정실,174,5,90966,201031,충청북도,0.028735632183908,2.2099575665633315
정부법무공단,기타공공기관,법무부,124,9,99846,209464,서울특별시,0.0725806451612903,2.0978707209102017
제주국제자유도시개발센터,공기업(준시장형),국토교통부,365,22,66261,146624,제주특별자치도,0.0602739726027397,2.2128250403706557
제주대학교병원,기타공공기관,교육부,2016,99,64860,147809,제주특별자치도,0.0491071428571428,2.2788930003083565
주식회사 에스알,공기업(준시장형),국토교통부,700,46,73837,123857,서울특별시,0.0657142857142857,1.677438140769533
주택관리공단(주),기타공공기관,국토교통부,2769,272,48307,156073,경상남도,0.098230408089563,3.230856811642205
주택도시보증공사,공기업(준시장형),국토교통부,1149,56,78153,135177,부산광역시,0.0487380330722367,1.7296456949829182
중소기업기술정보진흥원,기타공공기관,중소벤처기업부,291,16,63799,225395,세종특별자치시,0.0549828178694158,3.532892365084092
중소기업은행,기타공공기관,금융위원회,13599,330,111088,342558,서울특별시,0.0242664901831017,3.083663401987613
중소벤처기업연구원,기타공공기관,중소벤처기업부,116,7,69843,193101,서울특별시,0.0603448275862069,2.76478673596495
중소벤처기업진흥공단,준정부기관(기금관리형),중소벤처기업부,1434,60,85474,252444,경상남도,0.0418410041841004,2.953459531553454
차세대수치예보모델개발사업단,기타공공기관,기상청,108,8,77945,157440,서울특별시,0.074074074074074,2.019885816922189
창업진흥원,기타공공기관,중소벤처기업부,235,10,69361,189767,세종특별자치시,0.0425531914893617,2.7359322962471704
축산물품질평가원,준정부기관(위탁집행형),농림축산식품부,474,28,65097,186821,세종특별자치시,0.0590717299578059,2.8698864771034
충남대학교병원,기타공공기관,교육부,5069.6,165,68599,157236,대전광역시,0.0325469465046552,2.292103383431245
충북대학교병원,기타공공기관,교육부,2674,115,66981,152365,충청북도,0.0430067314884068,2.2747495558441946
코레일관광개발(주),기타공공기관,국토교통부,1304,1,40752,117232,서울특별시,0.0007668711656441,2.8767177071064
코레일네트웍스(주),기타공공기관,국토교통부,1680.2,9,55740,117152,서울특별시,0.005356505177955,2.101758162899175
코레일로지스(주),기타공공기관,국토교통부,543,14,46253,86990,서울특별시,0.0257826887661141,1.8807428707327087
코레일유통(주),기타공공기관,국토교통부,477,24,55043,124757,서울특별시,0.050314465408805,2.2665370710172046
코레일테크(주),기타공공기관,국토교통부,5267,33,47219,104853,대전광역시,0.0062654262388456,2.220567991698257
태권도진흥재단,기타공공기관,문화체육관광부,89,8,61108,148391,전라북도,0.0898876404494382,2.428339988217582
통일연구원,기타공공기관,국무조정실,100,7,65541,154704,서울특별시,0.07,2.360415617704948
학교법인한국폴리텍,기타공공기관,고용노동부,2740,104,80283,167033,인천광역시,0.037956204379562,2.080552545370751
한국가스공사,공기업(시장형),산업통상부,4251,157,94008,128450,대구광역시,0.0369324864737708,1.3663730746319462
한국가스안전공사,준정부기관(위탁집행형),산업통상부,1746.5,91,75032,176074,충청북도,0.0521042084168336,2.346652095106088
한국개발연구원,기타공공기관,국무조정실,474,23,84767,189390,세종특별자치시,0.0485232067510548,2.234242098930008
한국건강가정진흥원,기타공공기관,성평등가족부,83,10,46706,149801,서울특별시,0.1204819277108433,3.2073181175866057
한국건강증진개발원,기타공공기관,보건복지부,165,9,51119,196017,서울특별시,0.0545454545454545,3.8345233670455214
한국고용노동교육원,기타공공기관,고용노동부,118,6,75570,160628,경기도,0.0508474576271186,2.125552467910546
한국고용정보원,준정부기관(위탁집행형),고용노동부,525,21.75,65867,138726,충청북도,0.0414285714285714,2.106153308940744
한국고전번역원,기타공공기관,교육부,142,7,64538,147639,서울특별시,0.0492957746478873,2.2876289937711114
한국공예디자인문화진흥원,기타공공기관,문화체육관광부,68,4,56688,133725,서울특별시,0.0588235294117647,2.3589648602878914
한국공정거래조정원,기타공공기관,공정거래위원회,121,10,59441,185512,서울특별시,0.0826446280991735,3.1209434565367338
한국공항공사,공기업(시장형),국토교통부,2749,171,69998,118504,서울특별시,0.0622044379774463,1.692962656075888
